Number	Decade	Country	Source	File
30584032	1949	USA	Wamsutta Magazine Advert	deb8b357ea7413729a8ce8e514797bb2.jpg
30584031	1949	USA	Utica Magazine Advert	37cb1195af61898c42b08680419a897e.jpg
30584030	1949	USA	Ronson Magazine Advert	dd1da81be0cd5778934fa9dc82206f7f.jpg
30584029	1949	USA	Kodak Magazine Advert	38706f2f53409de289722eb80c58152f.jpg
30584028	1949	USA	Magazine Advert	32e325f03c1363de81ee9e95ac1528dc.jpg
30584026	1949	USA	Martex Magazine Advert	1d60ad1706c72ea8545580e542af3907.jpg
30584024	1949	USA	American Viscose Corporation...	4716578bd17a5eb612f73aa2d9ea9a21.jpg
30584023	1949	USA	Pitney Bowes Magazine Advert	b663a32c18581141d07a2edf65c8f198.jpg
30584022	Lucky	Strike	USA     1949 Magazine Advert	b46bfc5d3e81b0582eadc99d03e12c6c.jpg
30584021	1949	USA	Jeep Magazine Advert	a33de67c4ee3eed6a8d3864fc5fc95e9.jpg
30584020	1949	USA	Rheingold Magazine Advert	de31a14a0b80b5de0662bcd40d3b0198.jpg
30584019	1949	USA	Milliken Magazine Advert	f9190e9df40c0a3796f8a680a72179f7.jpg
30584018	1949	USA	Miller Magazine Advert	0195de3a71eed7efe131d478044c95ff.jpg
30584016	1946	USA	Studebaker Magazine Advert	b0585ec2bf90adcb489d7a52d9b4f8e8.jpg
30584015	1946	USA	Rheingold Magazine Advert	0893730f5e547afc688de8c11f13e0a3.jpg
30584014	1946	USA	McCall's Magazine Advert	ac6fe2db22199ccbd50ffda34e28e2d1.jpg
30584013	1946	USA	McCall's Magazine Advert (detail)	c4bcdbf4be466f7a4fda8c1d316bdc03.jpg
30584012	1946	USA	Nylon Stockings Magazine Advert	968408152525cf65559fc0abe10176b1.jpg
30584011	1946	USA	Florists' Telegraph Delivery...	be0f5a210f80f6624ae2d6ef8c654d0c.jpg
30584010	1946	USA	Florists' Telegraph Delivery...	56a2e60f7cda6bbea8087f06bb5e9746.jpg
30584009	1946	USA	Chatham Magazine Advert	a353b2302840d34e71e6585eda0f68e9.jpg
